"Subj","ROI","Cond","Beta"
"sub-193800","R_HEADSUB_NA","AllFirst",0.1862
"sub-193800","L_SUB_NA","AllFirst",0.323
"sub-193800","R_SUB_NA","AllFirst",0.09307
"sub-193800","L_CA12_NA","CloseRepeat",0.02144
"sub-193800","R_CA12_NA","CloseRepeat",-0.02626
"sub-193800","L_DGCA3_NA","CloseRepeat",-0.02694
"sub-193800","R_DGCA3_NA","CloseRepeat",0.04948
"sub-193800","L_HEADCA1_NA","CloseRepeat",-0.04278
"sub-193800","R_HEADCA1_NA","CloseRepeat",0.08152
"sub-193800","L_HEADDGCA23_NA","CloseRepeat",0.1968
"sub-193800","R_HEADDGCA23_NA","CloseRepeat",0.08196
"sub-193800","L_HEADSUB_NA","CloseRepeat",0.1546
"sub-193800","R_HEADSUB_NA","CloseRepeat",-0.01825
"sub-193800","L_SUB_NA","CloseRepeat",0.1118
"sub-193800","R_SUB_NA","CloseRepeat",-0.005624
"sub-193800","L_CA12_NA","DistantRepeat",0.0465
"sub-193800","R_CA12_NA","DistantRepeat",-0.03528
"sub-193800","L_DGCA3_NA","DistantRepeat",0.06687
"sub-193800","R_DGCA3_NA","DistantRepeat",0.01047
"sub-193800","L_HEADCA1_NA","DistantRepeat",-0.1137
"sub-193800","R_HEADCA1_NA","DistantRepeat",0.04657
"sub-193800","L_HEADDGCA23_NA","DistantRepeat",0.03976
"sub-193800","R_HEADDGCA23_NA","DistantRepeat",0.02909
"sub-193800","L_HEADSUB_NA","DistantRepeat",-0.004753
"sub-193800","R_HEADSUB_NA","DistantRepeat",0.02022
"sub-193800","L_SUB_NA","DistantRepeat",0.009876
"sub-193800","R_SUB_NA","DistantRepeat",0.009358
"sub-193800","L_CA12_NA","ExactRepeat",0.04218
"sub-193800","R_CA12_NA","ExactRepeat",0.005435
"sub-193800","L_DGCA3_NA","ExactRepeat",0.04299
"sub-193800","R_DGCA3_NA","ExactRepeat",0.08068
"sub-193800","L_HEADCA1_NA","ExactRepeat",-0.02074
"sub-193800","R_HEADCA1_NA","ExactRepeat",-0.01511
"sub-193800","L_HEADDGCA23_NA","ExactRepeat",-0.03025
"sub-193800","R_HEADDGCA23_NA","ExactRepeat",-0.09363
"sub-193800","L_HEADSUB_NA","ExactRepeat",0.1157
"sub-193800","R_HEADSUB_NA","ExactRepeat",-0.0131
"sub-193800","L_SUB_NA","ExactRepeat",0.05947
"sub-193800","R_SUB_NA","ExactRepeat",0.07532
"sub-198656","L_CA12_NA","AllFirst",-0.2776
"sub-198656","R_CA12_NA","AllFirst",-0.05493
"sub-198656","L_DGCA3_NA","AllFirst",-0.1477
"sub-198656","R_DGCA3_NA","AllFirst",-0.09671
"sub-198656","L_HEADCA1_NA","AllFirst",-0.137
"sub-198656","R_HEADCA1_NA","AllFirst",-0.05051
"sub-198656","L_HEADDGCA23_NA","AllFirst",-0.09424
"sub-198656","R_HEADDGCA23_NA","AllFirst",0.07526
"sub-198656","L_HEADSUB_NA","AllFirst",-0.08416
"sub-198656","R_HEADSUB_NA","AllFirst",0.3108
"sub-198656","L_SUB_NA","AllFirst",0.2919
"sub-198656","R_SUB_NA","AllFirst",0.2008
"sub-198656","L_CA12_NA","CloseRepeat",-0.1411
"sub-198656","R_CA12_NA","CloseRepeat",-0.02428
"sub-198656","L_DGCA3_NA","CloseRepeat",-0.147
"sub-198656","R_DGCA3_NA","CloseRepeat",-0.03544
"sub-198656","L_HEADCA1_NA","CloseRepeat",-0.1922
"sub-198656","R_HEADCA1_NA","CloseRepeat",-0.1228
"sub-198656","L_HEADDGCA23_NA","CloseRepeat",-0.242
"sub-198656","R_HEADDGCA23_NA","CloseRepeat",-0.1545
"sub-198656","L_HEADSUB_NA","CloseRepeat",-0.2452
"sub-198656","R_HEADSUB_NA","CloseRepeat",0.04064
"sub-198656","L_SUB_NA","CloseRepeat",0.1397
"sub-198656","R_SUB_NA","CloseRepeat",0.1935
"sub-198656","L_CA12_NA","DistantRepeat",-0.1774
"sub-198656","R_CA12_NA","DistantRepeat",-0.0299
"sub-198656","L_DGCA3_NA","DistantRepeat",-0.1279
"sub-198656","R_DGCA3_NA","DistantRepeat",-0.02438
"sub-198656","L_HEADCA1_NA","DistantRepeat",-0.2009
"sub-198656","R_HEADCA1_NA","DistantRepeat",-0.03521
"sub-198656","L_HEADDGCA23_NA","DistantRepeat",-0.1978
"sub-198656","R_HEADDGCA23_NA","DistantRepeat",-0.05998
"sub-198656","L_HEADSUB_NA","DistantRepeat",-0.1826
"sub-198656","R_HEADSUB_NA","DistantRepeat",0.06929
"sub-198656","L_SUB_NA","DistantRepeat",0.1132
"sub-198656","R_SUB_NA","DistantRepeat",0.1984
"sub-198656","L_CA12_NA","ExactRepeat",-0.2249
"sub-198656","R_CA12_NA","ExactRepeat",-0.1648
"sub-198656","L_DGCA3_NA","ExactRepeat",-0.1554
"sub-198656","R_DGCA3_NA","ExactRepeat",-0.1203
"sub-198656","L_HEADCA1_NA","ExactRepeat",-0.2215
"sub-198656","R_HEADCA1_NA","ExactRepeat",-0.1384
"sub-198656","L_HEADDGCA23_NA","ExactRepeat",-0.321
"sub-198656","R_HEADDGCA23_NA","ExactRepeat",-0.2394
"sub-198656","L_HEADSUB_NA","ExactRepeat",-0.322
"sub-198656","R_HEADSUB_NA","ExactRepeat",-0.03127
"sub-198656","L_SUB_NA","ExactRepeat",0.1774
"sub-198656","R_SUB_NA","ExactRepeat",0.1371
"sub-222070","L_CA12_NA","AllFirst",0.07555
"sub-222070","R_CA12_NA","AllFirst",0.0383
"sub-222070","L_DGCA3_NA","AllFirst",0.08844
"sub-222070","R_DGCA3_NA","AllFirst",0.1159
"sub-222070","L_HEADCA1_NA","AllFirst",0.1301
"sub-222070","R_HEADCA1_NA","AllFirst",0.03929
"sub-222070","L_HEADDGCA23_NA","AllFirst",0.3483
"sub-222070","R_HEADDGCA23_NA","AllFirst",0.0625
"sub-222070","L_HEADSUB_NA","AllFirst",0.1731
"sub-222070","R_HEADSUB_NA","AllFirst",0.07658
"sub-222070","L_SUB_NA","AllFirst",0.0816
"sub-222070","R_SUB_NA","AllFirst",0.1206
"sub-222070","L_CA12_NA","CloseRepeat",-0.07576
"sub-222070","R_CA12_NA","CloseRepeat",0.03905
"sub-222070","L_DGCA3_NA","CloseRepeat",-0.1879
